type,severity,subject,detail,metric,value,threshold
废卡,medium,破阵换位,出现后很少被选，抽到后也很少打出,choice/use,0.0%/0.0%,8%/18%
废卡,medium,断咒预兆,出现后很少被选，抽到后也很少打出,choice/use,0.0%/0.0%,8%/18%
过强卡,medium,誓约留锋,选后通关率显著高于总体,selectedWinRate,0.9354838709677419,0.8005555555555556
过强卡,medium,圣徽举盾,选后通关率显著高于总体,selectedWinRate,0.9565217391304348,0.8005555555555556
过强卡,medium,偿命追击,选后通关率显著高于总体,selectedWinRate,0.8695652173913043,0.8005555555555556
过强卡,medium,倒影护幕,选后通关率显著高于总体,selectedWinRate,0.85,0.8005555555555556
过强卡,medium,噬痕终击,选后通关率显著高于总体,selectedWinRate,0.9555555555555556,0.8005555555555556
过强卡,medium,断誓开锋,选后通关率显著高于总体,selectedWinRate,0.8604651162790697,0.8005555555555556
过强卡,medium,遗迹立誓,选后通关率显著高于总体,selectedWinRate,0.967741935483871,0.8005555555555556
过强卡,medium,侧风护步,选后通关率显著高于总体,selectedWinRate,0.9393939393939394,0.8005555555555556
过强卡,medium,血誓斩,选后通关率显著高于总体,selectedWinRate,0.84375,0.8005555555555556
过强卡,medium,魂誓换锋,选后通关率显著高于总体,selectedWinRate,0.9473684210526315,0.8005555555555556
过强卡,medium,誓旗护阵,选后通关率显著高于总体,selectedWinRate,0.9459459459459459,0.8005555555555556
过强卡,medium,折返羽刃,选后通关率显著高于总体,selectedWinRate,0.8333333333333334,0.8005555555555556
过强卡,medium,拉弓瞄准,选后通关率显著高于总体,selectedWinRate,0.8076923076923077,0.8005555555555556
过强卡,medium,飞叶封存,选后通关率显著高于总体,selectedWinRate,0.8518518518518519,0.8005555555555556
过强遗物,medium,断罪剑鞘,获得后通关率显著高于总体,winRateAfterObtain,0.8269230769230769,0.8205555555555556
过强遗物,medium,圣剑誓印,获得后通关率显著高于总体,winRateAfterObtain,0.88,0.8205555555555556
过强遗物,medium,蔷薇重盾,获得后通关率显著高于总体,winRateAfterObtain,0.84,0.8205555555555556
过强遗物,medium,命债天平,获得后通关率显著高于总体,winRateAfterObtain,0.88,0.8205555555555556
过强遗物,medium,圣壁石甲,获得后通关率显著高于总体,winRateAfterObtain,0.9130434782608695,0.8205555555555556
过强遗物,medium,赤线缝针,获得后通关率显著高于总体,winRateAfterObtain,0.8478260869565217,0.8205555555555556
过强遗物,medium,棘辉冠冕,获得后通关率显著高于总体,winRateAfterObtain,0.8918918918918919,0.8205555555555556
过强遗物,medium,圣棘花冠,获得后通关率显著高于总体,winRateAfterObtain,0.8387096774193549,0.8205555555555556
过强遗物,medium,放血沙漏,获得后通关率显著高于总体,winRateAfterObtain,0.8695652173913043,0.8205555555555556
过强遗物,medium,裂甲刻尺,获得后通关率显著高于总体,winRateAfterObtain,0.9047619047619048,0.8205555555555556
过强遗物,medium,血誓指环,获得后通关率显著高于总体,winRateAfterObtain,0.9411764705882353,0.8205555555555556
单局过长,medium,战斗回合,存在超长战斗，需要排查无解防御或输出不足,maxBattleTurns,31,18
无限回血风险,medium,回血链,单场回血量相对最大生命过高,maxHealingToHpRatio,3,2.2
